accountID;installationID;installationName;mainActivity
101569;267;Reginonális Gumihasznosító Erõmû;20-Combustion of fuels
91424;654;Hallsberg VME HVC;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
96340;233;GLAZURA - Výroba keramických frit;32-Manufacture of ceramics
91425;573;OP Härnösands sjukhus;20-Combustion of fuels
101571;941;Királyegyházi Cementgyár;29-Production of cement clinker
91426;583;HVC Ljungarum;20-Combustion of fuels
91427;584;HVC Ljungarums fördelningsstation;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101573;963;SZBT-1 Kompresszor és gázelőkészítő üzem;20-Combustion of fuels
112105;203391;36920;10-Aircraft operator activities
91428;586;HVC Liljeholmen;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101575;1000;BE-Optimum Kft. Gázturbinás kiserőmű egység;20-Combustion of fuels
91429;589;TPC Heden;20-Combustion of fuels
96348;220000000000001;Marsa Power Station;1-Combustion installations with a rated thermal input exceeding 20 MW
101576;1004;Tissue papírgyár;36-Production of paper or cardboard
91430;585;KVV Ryhov;20-Combustion of fuels
96349;220000000000002;Delimara Power Station;1-Combustion installations with a rated thermal input exceeding 20 MW
101577;268;Bakonyi Gázturbinás Erőmű;20-Combustion of fuels
91431;587;HVC Simsholmen;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101578;269;Gönyűi Kombinált Ciklusú Erőmű;20-Combustion of fuels
91432;571;Hällefors värme P6;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
107009;201796;Azulindus y Martí;32-Manufacture of ceramics
101579;270;Mercedes-Benz Manufacturing Hungary Kft.;20-Combustion of fuels
91433;615;Snickarens PC;20-Combustion of fuels
101580;271;Wienerberger Zrt. Balatonszentgyörgyi Téglagyár;32-Manufacture of ceramics
91434;613;Återbruket;20-Combustion of fuels
101581;1005;FGSZ Földgázszállító Zrt. Báta Kompresszorállomás;20-Combustion of fuels
91435;704;Energicentralen;20-Combustion of fuels
101582;1006;Szarvasi Vetõmagüzem;20-Combustion of fuels
101583;122;MOL Rt. KTD Kiskunhalasi Termelési Egység;1-Combustion installations with a rated thermal input exceeding 20 MW
91438;706;Energicentral Kalmar Tech Park;1-Combustion installations with a rated thermal input exceeding 20 MW
101584;131;MOL Nyrt. Dunai Finomító;20-Combustion of fuels
96362;234;UNIPETROL - Petrochemie;20-Combustion of fuels
101586;132;Magyar Suzuki Zrt. – Esztergomi gyára;20-Combustion of fuels
96363;235;Veolia Energie - Výtopna Anenská;20-Combustion of fuels
101587;166;Reptéri Kazántelep;20-Combustion of fuels
96364;236;Wienerberger - Poklopová pec;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
112127;206561;Gasturbinenanlage TG 1 + 2;20-Combustion of fuels
101588;65;ESZAT Kft. Almafeldolgozó üzem;20-Combustion of fuels
96365;237;O-I Czech Republic - Nové Sedlo;31-Manufacture of glass
112128;206562;CENTRE HOSPITALIER DE ROANNE;20-Combustion of fuels
101589;127;Algyő Gázüzem;20-Combustion of fuels
96366;238;O-I Czech Republic - Rudolfova huť;31-Manufacture of glass
101590;136;Litéri Gázturbinás Erőmű;20-Combustion of fuels
96367;239;Winerberger Hodonín-Tunelová vypalovací pec Ceric;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101591;240;ALMEX96KFT;1-Combustion installations with a rated thermal input exceeding 20 MW
96368;240;ZRUŠENO - Wienerberger - cihelna Kunín;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101592;47;Duna-Dráva Cement Korlátolt Felelősségű Társaság;29-Production of cement clinker
96369;241;Pražská správa nemovitostí - Kotelna SKV;20-Combustion of fuels
101593;50;DUNAFERR Zsugorítómű;23-Metal ore roasting or sintering
96370;242;Sklárny Moravia, a.s.;7-Installations for the manufacture of glass including glass fibre
101594;81;Győri Szeszgyár és Finomító Zrt. Kazánház;20-Combustion of fuels
96371;243;Wienerberger - závod Řepov;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101595;169;Richter Gedeon Nyrt.;20-Combustion of fuels
96372;244;Wienerberger - závod Hostomice;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101596;139;Mályi Téglagyár;32-Manufacture of ceramics
96373;245;Teplárna České Budějovice, Novohradská ul.;1-Combustion installations with a rated thermal input exceeding 20 MW
101597;44;DEOEC Kazánház;20-Combustion of fuels
96374;246;KAVALIERGLASS;7-Installations for the manufacture of glass including glass fibre
101598;213;Wienerberger Zrt. Kőszegi Téglagyára;32-Manufacture of ceramics
96375;247;Wienerberger - závod Osík;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101599;98;Univer-Product Zrt.;20-Combustion of fuels
96376;248;Wienerberger - závod Novosedly;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
112146;206581;32921;10-Aircraft operator activities
91448;744;PC Röbäck;20-Combustion of fuels
96377;249;Wienerberger - závod Číčenice;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
112147;206583;CHU St Etienne- Hopital Nord;20-Combustion of fuels
91449;745;Storegårdens panncentral;20-Combustion of fuels
96378;250;Wienerberger - závod Týn n/Vltavou;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
112148;206582;31102;10-Aircraft operator activities
101603;1;Kingscourt Bricks;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
91450;714;AGA;20-Combustion of fuels
96379;251;ZRUŠENO - Wienerberger - závod Lety;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
112149;206584;Mercury Cerámica, S.L.;32-Manufacture of ceramics
101604;65;Lagan Brick-The Swan;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
91451;733;PC Iggesund;20-Combustion of fuels
96380;252;ENERGETIKA TŘINEC - Teplárny a Tepelná zařízení;20-Combustion of fuels
107049;201395;F10379;10-Aircraft operator activities
101605;2;Kingscourt Works;34-Production or processing of gypsum or plasterboard
112150;206422;Raffinat-Aufarbeitung;42-Production of bulk chemicals
91452;711;Stensiken;20-Combustion of fuels
96381;253;HELUZ cihl. prům. - Cihelna Kryry;32-Manufacture of ceramics
101606;3;Arrabawn Cooperative Society Limited;20-Combustion of fuels
107050;200478;29086;10-Aircraft operator activities
112151;206284;Nynas Raffinerie Harburg-Süd;21-Refining of mineral oil
107051;201833;f10459;10-Aircraft operator activities
91453;731;Panncentral Vä;20-Combustion of fuels
96382;254;Wienerberger - závod Tuněchody;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101607;4;Medite Europe DAC;20-Combustion of fuels
107052;201834;Celanese Chemicals Iberica, S.L., planta VAM;42-Production of bulk chemicals
96383;255;SCHOTT CR, a.s.;7-Installations for the manufacture of glass including glass fibre
101608;5;Midleton Distilleries;20-Combustion of fuels
91454;726;Volvo PC;20-Combustion of fuels
101609;6;Edenderry Power Plant;20-Combustion of fuels
91455;710;Reservcentralen Gjuterigatan;20-Combustion of fuels
96384;256;Wienerberger - závod Holice;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
101610;7;Kerry Ingredients (Ireland) Limited;20-Combustion of fuels
91456;746;Hultsfred City;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
96385;257;ČESKOLIPSKÁ TEPLÁRENSKÁ - výtopna Holý Vrch;20-Combustion of fuels
101611;85;Kerry Ingredients (Ireland) Limited;20-Combustion of fuels
96386;258;ČESKOLIPSKÁ TEPLÁRENSKÁ - Výtopna LOOS Stará Lípa;20-Combustion of fuels
91457;747;Hultsfred Ekeberg;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
107057;201636;f10192;10-Aircraft operator activities
101612;8;Carbery Food Ingredients Limited;20-Combustion of fuels
107058;201838;3259;10-Aircraft operator activities
91458;748;Hultsfred Läroverket;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
96387;259;JIP - Papírny Větřní, a.s.;1-Combustion installations with a rated thermal input exceeding 20 MW
101613;11;Irving Oil Whitegate Refinery Limited;21-Refining of mineral oil
91459;749;Hultsfred Stålhagen;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
96388;260;UNIPETROL RPA, s.r.o. - RAFINÉRIE, Litvínov;21-Refining of mineral oil
107060;201624;f10378;10-Aircraft operator activities
101614;14;Dublin Bay Power Plant;20-Combustion of fuels
91460;750;Motala - Platenskolan;20-Combustion of fuels
96389;261;LAUFEN CZ s.r.o.,  provozovna Bechyně;32-Manufacture of ceramics
107062;201670;F10351;10-Aircraft operator activities
101615;15;Premier Proteins;1-Combustion installations with a rated thermal input exceeding 20 MW
91461;730;Effektvägen Pellets;20-Combustion of fuels
112166;206587;HulpWarmteCentrale 2;20-Combustion of fuels
96390;262;AGC Flat Glass Czech - závod Řetenice;31-Manufacture of glass
101616;16;MSD International GmbH t/a MSD Ireland (Brinny);20-Combustion of fuels
107063;201840;32419;10-Aircraft operator activities
91462;715;Nygårds PC;20-Combustion of fuels
96391;263;AGC Flat Glass Czech - závod Barevka;31-Manufacture of glass
112168;206588;Safran Aircraft Engines Gennevilliers;20-Combustion of fuels
101617;29;MSD Ireland (Rathdrum);20-Combustion of fuels
91463;727;Åmål PC;20-Combustion of fuels
96392;264;Teplárna České Budějovice - Výtopna Vráto;1-Combustion installations with a rated thermal input exceeding 20 MW
112169;206589;ENAGAS, S.A. (Puerto "El Musel");20-Combustion of fuels
101618;17;Guerbet Ireland Unlimited Company;20-Combustion of fuels
91464;751;TPC Sjöstad;20-Combustion of fuels
112170;206590;SONITHERM;20-Combustion of fuels
107067;201567;4029;10-Aircraft operator activities
91465;709;PC Eksätter;20-Combustion of fuels
101619;18;Kinsale Head Gas Field;20-Combustion of fuels
112172;206592;Centrale SOCOMIN du MIN de Rungis;20-Combustion of fuels
101620;19;Beamish & Crawford;1-Combustion installations with a rated thermal input exceeding 20 MW
91466;752;HVC Degerfors;20-Combustion of fuels
112173;206601;31936;10-Aircraft operator activities
101621;21;Eli Lilly Kinsale Limited;20-Combustion of fuels
96398;265;Cihelna Kinský spol. s r.o;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
107070;201847;1323;10-Aircraft operator activities
91467;722;Lersätters PC;20-Combustion of fuels
96399;266;Cihelny STAMP Miskolezy, s.r.o.;32-Manufacture of ceramics
101622;20;Genzyme Ireland Limited;20-Combustion of fuels
107071;201854;Fertiberia, S.A. - Fábrica de Avilés;38-Production of nitric acid
91468;723;Karlslunds PC;20-Combustion of fuels
112175;206602;Euralis Coop Usine Semences;20-Combustion of fuels
96400;267;TONDACH Česká republika s.r.o. - Závod Jirčany;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
91469;724;Dalidens PC;20-Combustion of fuels
107072;201855;Fertiberia - Fábrica de Palos;41-Production of ammonia
101623;22;'St. James''s Gate Brewery';20-Combustion of fuels
96401;268;Wienerberger - Závod Stod;32-Manufacture of ceramics
107073;201856;Fertiberia, S.A. - Fábrica de Puertollano;38-Production of nitric acid
91470;707;ACB Laminat;20-Combustion of fuels
101624;25;St. Francis Abbey Brewery (Diageo Global Supply);20-Combustion of fuels
96402;269;Wienerberger - Závod Blížejov;32-Manufacture of ceramics
91471;753;PC Blekingesjukhuset Karlskrona;20-Combustion of fuels
101625;26;Dundalk Brewery;1-Combustion installations with a rated thermal input exceeding 20 MW
96403;270;TONDACH Česká republika s.r.o. - Závod Hranice;32-Manufacture of ceramics
91472;755;Reservcentral Mossgatan;20-Combustion of fuels
101626;13;Bailieboro Foods Limited;20-Combustion of fuels
107076;201858;La Farga Yourcoppersolutions, S.A.;28-Production or processing of non-ferrous metals
96404;271;Wienerberger - Závod Šlapanice;32-Manufacture of ceramics
101627;28;Lough Egish Site;1-Combustion installations with a rated thermal input exceeding 20 MW
91474;754;Tidaholms Kraftvärmeverk;20-Combustion of fuels
96405;272;SAINT-GOBAIN ADFORS CZ - Litomyšl;31-Manufacture of glass
107078;201860;31288;10-Aircraft operator activities
101628;27;Killeshandra Site;20-Combustion of fuels
91475;758;Hjalmar Lundbohmskolan oljeanläggning;20-Combustion of fuels
107079;201797;30842;10-Aircraft operator activities
101629;30;Farragh Proteins;20-Combustion of fuels
96406;273;Mondi Štětí - Energetika;1-Combustion installations with a rated thermal input exceeding 20 MW
91476;757;Glaciären oljeanläggning;20-Combustion of fuels
96407;274;Mondi Štětí a.s.;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
107080;201753;30326;10-Aircraft operator activities
101630;88;College Proteins;20-Combustion of fuels
91477;756;Ferrum oljeanläggning;20-Combustion of fuels
112189;206603;Silo Gustave Muller;20-Combustion of fuels
101631;31;Aughinish Alumina;20-Combustion of fuels
96408;275;HASIT Šumavské vápenice a omítkárny, s.r.o.;30-Production of lime, or calcination of dolomite/magnesite
107081;201864;f10651;10-Aircraft operator activities
91478;759;Reservpanna Brommaplan;20-Combustion of fuels
101632;32;'St. James''s Hospital';20-Combustion of fuels
96409;276;Vápenka Vitošov s.r.o.;30-Production of lime, or calcination of dolomite/magnesite
112191;206604;Silo Gustave Muller;20-Combustion of fuels
101633;33;Irish Cement Limited (Limerick Works);29-Production of cement clinker
96410;277;Lafarge Cement, a.s. - Cementárna Čížkovice;29-Production of cement clinker
107084;201861;24738;10-Aircraft operator activities
91480;760;Igelsta Kraftvärmeverk;20-Combustion of fuels
101634;34;Irish Cement Limited (Platin Works);29-Production of cement clinker
96411;278;LB Cemix, s.r.o.;30-Production of lime, or calcination of dolomite/magnesite
107085;201610;17692;10-Aircraft operator activities
91481;761;TPC Zakrisdal;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101635;35;Clogrennane Lime Ltd.;30-Production of lime, or calcination of dolomite/magnesite
96412;279;VITRABLOK, s.r.o.;31-Manufacture of glass
91482;762;Biostor;20-Combustion of fuels
101636;37;Ormonde  Brick  Ltd.;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
107088;201669;F10110;10-Aircraft operator activities
96413;280;Lenzing Biocel Paskov a.s.;35-Production of pulp
91483;765;Stensele PC;20-Combustion of fuels
101637;116;Clogrennane Lime Limited (Toonagh Lime Works);30-Production of lime, or calcination of dolomite/magnesite
107089;201272;9248;10-Aircraft operator activities
96414;281;KLIMA a.s.;1-Combustion installations with a rated thermal input exceeding 20 MW
91484;763;Rörbroskolan;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101638;38;Pelagia Killybegs;20-Combustion of fuels
96415;282;ŽOS České Velenice CZ a.s.;1-Combustion installations with a rated thermal input exceeding 20 MW
107090;201894;Estudio Cerámico, S.L;32-Manufacture of ceramics
91485;764;Sibylla;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101639;39;BASF Ireland Limited;20-Combustion of fuels
91486;766;Storuman FVC;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
107091;201774;2073;10-Aircraft operator activities
96417;283;Vápenka Čertovy schody;30-Production of lime, or calcination of dolomite/magnesite
101640;40;Dairygold Co-Operative Society Limited;20-Combustion of fuels
91487;767;Husby panncentral;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
96418;284;CRYSTALITE BOHEMIA a.s.;31-Manufacture of glass
101641;41;Dairygold Co-Operative Society Limited (Mallow);20-Combustion of fuels
91488;768;Storängens Panncentral;20-Combustion of fuels
96419;285;innogy GasStor.-Podzem.zásob.plynu Háje u Příbrami;20-Combustion of fuels
107095;201642;Anlage zum Brennen keramischer Erzeugnisse;32-Manufacture of ceramics
101642;42;Swords Laboratories;20-Combustion of fuels
91489;769;Hamra Fjärrvärmecentral;20-Combustion of fuels
96420;286;NET4GAS - kompresní stanice Kralice nad Oslavou;20-Combustion of fuels
107096;201643;Anlage zum Brennen keramischer Erzeugnisse;32-Manufacture of ceramics
112209;206622;SOFIVO;20-Combustion of fuels
101643;46;Bristol-Myers Squibb Cruiserath;20-Combustion of fuels
91490;772;Hörneborgsverket;20-Combustion of fuels
96421;287;NET4GAS - kompresní stanice Kouřim;20-Combustion of fuels
107097;201608;Anlage zum Brennen und Herstellen von Dachziegeln;32-Manufacture of ceramics
101644;43;Smurfit Paper Mills;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
91491;771;Vallapannan;20-Combustion of fuels
96422;288;NET4GAS - kompresní stanice Strážovice;1-Combustion installations with a rated thermal input exceeding 20 MW
112211;206623;Blackburn Meadows Renewable Energy Plant;20-Combustion of fuels
107098;201363;f11401;10-Aircraft operator activities
101645;45;Intel Ireland;20-Combustion of fuels
91492;770;KVV Strängnäs;20-Combustion of fuels
96423;289;KRPA - Kotelna závodu Plzeň;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
107099;201617;Anlage zum Brennen keramischer Erzeugnisse-werk Ma;32-Manufacture of ceramics
101646;47;Midleton Compressor Station;20-Combustion of fuels
91493;736;Ovako Sweden AB, Hällefors;20-Combustion of fuels
96424;290;NET4GAS - kompresní stanice Břeclav;20-Combustion of fuels
107100;201612;Anlage zum Brennen keramischer Erzeugnisse Werk Ro;32-Manufacture of ceramics
101647;129;Whitegate Power Station;20-Combustion of fuels
91494;728;Fagersta Stainless AB;20-Combustion of fuels
96425;291;NET4GAS - kompresní stanice Hostim;1-Combustion installations with a rated thermal input exceeding 20 MW
101648;48;Breedon Cement Ireland Limited;29-Production of cement clinker
96426;292;ŠKODA AUTO, Plynová kotelna, Kvasiny;1-Combustion installations with a rated thermal input exceeding 20 MW
91495;773;Ifö Sanitär AB Sanitetsgodsfabriken;32-Manufacture of ceramics
101649;49;ESB Aghada Thermal;20-Combustion of fuels
91496;776;Skänken Tibro;20-Combustion of fuels
96427;293;NET4GAS - kompresní stanice Veselí nad Lužnicí;20-Combustion of fuels
107104;201735;Trumfleet Power Station;20-Combustion of fuels
101650;50;Bellacorick Power Station;1-Combustion installations with a rated thermal input exceeding 20 MW
96428;294;Olšanské papírny, a.s. - závod Vlčice;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
91497;774;PC Muddret;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
107105;201736;Monckton Road Power Station;20-Combustion of fuels
96429;295;Teplárna Loučovice;20-Combustion of fuels
101651;52;ESB Lough Ree Power;20-Combustion of fuels
91498;732;Ovako Bar AB, Boxholm;25-Production or processing of ferrous metals
96430;296;ČEZ Energetické služby - en. hosp. Mohelnice;1-Combustion installations with a rated thermal input exceeding 20 MW
91499;777;Hetvattencentral 1;20-Combustion of fuels
101652;53;ESB Marina Generating Station;20-Combustion of fuels
96431;297;Thermoservis spol. s r. o. - Kotelna ŽOS Nymburk;1-Combustion installations with a rated thermal input exceeding 20 MW
91500;716;SCA BioNorr;20-Combustion of fuels
101653;54;ESB Moneypoint Generating Station;20-Combustion of fuels
101654;55;ESB North Wall Generating Station;20-Combustion of fuels
96432;298;Thermoservis spol. s r. o. - Kotelna CZT Nymburk;20-Combustion of fuels
91501;779;Biovärmeverket;20-Combustion of fuels
107109;201463;f10140;10-Aircraft operator activities
101655;56;ESB Poolbeg Generating Station;1-Combustion installations with a rated thermal input exceeding 20 MW
91502;729;Thin Strip Nyby;25-Production or processing of ferrous metals
107110;201910;Roca Sanitario, S.A.;32-Manufacture of ceramics
96434;299;REFRASIL, s.r.o.;32-Manufacture of ceramics
112229;206642;TEINTURE ET IMPRESSION DE LYON;20-Combustion of fuels
101656;59;ESB West Offaly;20-Combustion of fuels
91503;782;PC Halda;20-Combustion of fuels
107111;201913;9962;10-Aircraft operator activities
96435;300;Paralax a.s. - Cihelna Nebužely;32-Manufacture of ceramics
101657;120;ESB Poolbeg Generating Station (Unit 1);1-Combustion installations with a rated thermal input exceeding 20 MW
96436;301;Papos Trade s.r.o.;35-Production of pulp
107112;201540;B012-EDC-Anlage;42-Production of bulk chemicals
91505;783;RPC Skåre;20-Combustion of fuels
96437;302;EUROSERUM s.r.o.;20-Combustion of fuels
107113;201539;A034-Vinylchlorid;42-Production of bulk chemicals
101658;121;ESB Poolbeg Generating Station (Unit 2);1-Combustion installations with a rated thermal input exceeding 20 MW
91507;786;Tallnäs;20-Combustion of fuels
96438;303;KG Energo s.r.o.;20-Combustion of fuels
101659;119;ESB Poolbeg Generating Station (Unit 3);1-Combustion installations with a rated thermal input exceeding 20 MW
107114;201541;A012-Oxichlorierung;42-Production of bulk chemicals
91508;787;Industriområdet Timrå;20-Combustion of fuels
96439;304;Kotelny pro zásobování teplem Adamova;1-Combustion installations with a rated thermal input exceeding 20 MW
101660;118;ESB Poolbeg Generating Station (CCGT);20-Combustion of fuels
107115;201538;B12-Vinylchlorid;42-Production of bulk chemicals
91510;712;Hällekisfabriken;33-Manufacture of mineral wool
96440;305;Plynová kotelna SPH-SLUŽBY, s.r.o.;20-Combustion of fuels
101661;122;Aghada CCGT;20-Combustion of fuels
107117;201602;Haubenglüherei Kaltbreitbandwalzwerk;25-Production or processing of ferrous metals
96441;306;PLEAS a.s., Havlíčkův Brod;20-Combustion of fuels
91511;725;PC Bäckfåran;20-Combustion of fuels
101663;60;Novartis Ringaskiddy Limited;20-Combustion of fuels
107119;201940;Magnesitas Navarras, S.A.;30-Production of lime, or calcination of dolomite/magnesite
96443;307;C-Energy Planá - Teplárna;20-Combustion of fuels
91513;735;Gustavsberg VVS;20-Combustion of fuels
101664;62;Huntstown Power Station;20-Combustion of fuels
107120;201933;f12750;10-Aircraft operator activities
96444;308;Fakultní nemocnice v Motole - centrální kotelna;20-Combustion of fuels
91514;719;Norra Mölnvik;20-Combustion of fuels
101665;63;Dublin City University;1-Combustion installations with a rated thermal input exceeding 20 MW
96445;309;kotelny Mlékárny Hlinsko;20-Combustion of fuels
91515;720;Hästhagen;20-Combustion of fuels
101666;66;Kilbarry;7-Installations for the manufacture of glass including glass fibre
112246;206644;37699;10-Aircraft operator activities
107122;201942;Central Solar Termoeléctrica Aste 1A;20-Combustion of fuels
96446;310;Jan Fiala - Cihelna Šterboholy;32-Manufacture of ceramics
91516;718;Värmdö marknadsplats;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101667;67;Tipperary Co Operative Creamery Limited;20-Combustion of fuels
112247;206523;Petrojarl Banff FPSO;20-Combustion of fuels
107123;201943;Central Solar Termoeléctrica Aste 1B;20-Combustion of fuels
96447;1;Procter&Gamble - Rakona - Kotelna;1-Combustion installations with a rated thermal input exceeding 20 MW
91517;721;Kvarnberget;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101668;68;Finsa Forest Products;1-Combustion installations with a rated thermal input exceeding 20 MW
96448;311;POLDI s.r.o.;24-Production of pig iron or steel
107125;201944;Tecnicerámica, S.A.;32-Manufacture of ceramics
101669;69;Masonite Ireland;20-Combustion of fuels
96449;2;PARAMO-HS Pardubice;21-Refining of mineral oil
107126;201685;30131;10-Aircraft operator activities
101670;70;IBM Technology Campus;1-Combustion installations with a rated thermal input exceeding 20 MW
96450;312;Crystal BOHEMIA, a.s.;31-Manufacture of glass
107127;201924;1850;10-Aircraft operator activities
101671;71;Tynagh 400MW CCPP;20-Combustion of fuels
96451;3;PARAMO-HS Kolín;21-Refining of mineral oil
107128;201947;f10023;10-Aircraft operator activities
101672;72;Scotchtown Cement Works;29-Production of cement clinker
96452;4;ArcelorMittal Tubular Products Karviná;1-Combustion installations with a rated thermal input exceeding 20 MW
107129;201280;33141;10-Aircraft operator activities
91525;784;Jabo Värmeverk;20-Combustion of fuels
96453;5;Cukrovar Vrbátky - uhelná kotelna;20-Combustion of fuels
101673;73;Dublin Airport;20-Combustion of fuels
107130;201934;f11444;10-Aircraft operator activities
91526;785;Tranemo Panncentral;20-Combustion of fuels
96454;6;innogy Energo - Teplárna Náchod;20-Combustion of fuels
101674;74;SmithKline Beecham (Manufacturing);1-Combustion installations with a rated thermal input exceeding 20 MW
107131;201562;21529;10-Aircraft operator activities
91527;778;Surahammars Bruk;5-Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting
101675;75;University of Dublin;1-Combustion installations with a rated thermal input exceeding 20 MW
96455;7;innogy Energo - Teplárna Králův Dvůr;20-Combustion of fuels
91528;790;Öresundsverket CHP;20-Combustion of fuels
96456;8;ENERGZET, a.s. - teplárna;1-Combustion installations with a rated thermal input exceeding 20 MW
107132;201950;01084;10-Aircraft operator activities
101676;76;Mondelez Ireland Production Limited;20-Combustion of fuels
91529;792;PC Städet;20-Combustion of fuels
101677;77;Mondelez Ireland Production Limited - Rathmore;20-Combustion of fuels
96457;9;OPATHERM - Výtopna Hillova;20-Combustion of fuels
112265;206541;Pinnacle Sweden AB;20-Combustion of fuels
107134;201647;Anlage zur Herstellung von Schwefelsäure;20-Combustion of fuels
91530;780;Städet;20-Combustion of fuels
101678;78;Abbott Ireland Cootehill;20-Combustion of fuels
107135;201343;SK-MMA-Anlage;42-Production of bulk chemicals
112266;206662;Tuscania S.p.a. - Stabilimento di Correggio;32-Manufacture of ceramics
96459;10;OPATHERM - Výtopna Olomoucká;20-Combustion of fuels
91531;781;Dåva KVV;20-Combustion of fuels
101679;79;Glanbia Ireland DAC Ballyragget;20-Combustion of fuels
107136;201646;Anlage zur Herstellung von Ketoncyanhydrinen;42-Production of bulk chemicals
96460;11;Slévárna ČKD Kutná Hora, a.s.;20-Combustion of fuels
112267;206681;Gold Art Ceramica Spa;32-Manufacture of ceramics
101680;80;Kilmeaden;1-Combustion installations with a rated thermal input exceeding 20 MW
91532;788;Badhusvägen;20-Combustion of fuels
96461;12;Energetika Chropyně - výtopna;1-Combustion installations with a rated thermal input exceeding 20 MW
112268;206701;Jerezsol 50, S.L.;20-Combustion of fuels
91533;789;Tegelbruksvägen i Bålsta;20-Combustion of fuels
101681;81;Glanbia Ireland DAC - Virginia;20-Combustion of fuels
107138;201734;Blechwalzwerk;25-Production or processing of ferrous metals
112270;206702;KGHM Polska Miedź S.A. Blok Gazowo-Parowy;20-Combustion of fuels
96463;13;Iveco - Výtopna E-1;20-Combustion of fuels
107139;201986;Manufactura industrial azulejera, S.L.;32-Manufacture of ceramics
101682;82;Bord na Mona Derrinlough Briquette Factory;20-Combustion of fuels
112271;206703;CRISTAL FRANCE SAS;28-Production or processing of non-ferrous metals
91535;793;RPC Älmhult;20-Combustion of fuels
96464;14;DIAMO-odštěpný závod GEAM provoz Chemická úpravna;20-Combustion of fuels
107140;201637;36957;10-Aircraft operator activities
101683;83;Bord na Mona Littleton Briquette Factory;20-Combustion of fuels
91536;794;Varberg P5;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
101684;84;Smartply Europe;20-Combustion of fuels
96466;15;SCB Foundry - Slévárna České Budějovice;25-Production or processing of ferrous metals
101685;86;Irish Sugar Limited - Carlow;1-Combustion installations with a rated thermal input exceeding 20 MW
107143;201992;22466;10-Aircraft operator activities
96467;313;LASSELSBERGER - závod Borovany;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
91538;791;Gyproc AB;34-Production or processing of gypsum or plasterboard
